event_definition,coding_system,code,code_name,concept,concept_name,tags,system,event_abbreviation,type,code_original
Alcohol abuse,ICD10CM,F10.6,Mental and behavioural disorders due to use of alcohol- amnesic syndrome,C0001940,Alcohol Amnestic Disorder,narrow,Ment,ALCABUSE,COV,F10.6
Alcohol abuse,ICD10CM,F10.7,Mental and behavioural disorders due to use of alcohol- residual and late-onset psychotic disorder,C0349099,Mental and behavioral disorders due to use of alcohol- residual and late-onset psychotic disorder,narrow,Ment,ALCABUSE,COV,F10.7
Alcohol abuse,ICD10CM,F10.8,Mental and behavioural disorders due to use of alcohol- other mental and behavioural disorders,C0349100,Mental and behavioral disorders due to use of alcohol- other mental and behavioral disorders,narrow,Ment,ALCABUSE,COV,F10.8
Alcohol abuse,ICD10CM,F10.9,Mental and behavioural disorders due to use of alcohol- unspecified mental and behavioural disorder,C0349101,Mental and behavioral disorders due to use of alcohol- unspecified mental and behavioral disorder,narrow,Ment,ALCABUSE,COV,F10.9
Alcohol abuse,ICD10CM,G31.2,Degeneration of nervous system due to alcohol,C0494466,Degeneration of nervous system due to alcohol,narrow,Ment,ALCABUSE,COV,G31.2
Alcohol abuse,ICD10CM,G62.1,Alcoholic polyneuropathy,C0085677,Alcoholic Neuropathy,narrow,Ment,ALCABUSE,COV,G62.1
Alcohol abuse,ICD10CM,G72.1,Alcoholic myopathy,C0270985,Alcohol myopathy,narrow,Ment,ALCABUSE,COV,G72.1
Alcohol abuse,ICD10CM,I42.6,Alcoholic cardiomyopathy,C0007192,Cardiomyopathy- Alcoholic,narrow,Ment,ALCABUSE,COV,I42.6
Alcohol abuse,ICD10CM,K29.2,Alcoholic gastritis,C0156076,Alcoholic gastritis,narrow,Ment,ALCABUSE,COV,K29.2
Alcohol abuse,ICD10CM,K70,Alcoholic liver disease,C0023896,Alcoholic Liver Diseases,narrow,Ment,ALCABUSE,COV,K70
Alcohol abuse,ICD10CM,K70.0,Alcoholic fatty liver,C0015696,Fatty Liver- Alcoholic,narrow,Ment,ALCABUSE,COV,K70.0
Alcohol abuse,ICD10CM,K70.1,Alcoholic hepatitis,C0019187,Hepatitis- Alcoholic,narrow,Ment,ALCABUSE,COV,K70.1
Alcohol abuse,ICD10CM,K70.2,Alcoholic fibrosis and sclerosis of liver,C0400925,Alcoholic fibrosis and sclerosis of liver,narrow,Ment,ALCABUSE,COV,K70.2
Alcohol abuse,ICD10CM,K70.3,Alcoholic cirrhosis of liver,C0023891,Liver Cirrhosis- Alcoholic,narrow,Ment,ALCABUSE,COV,K70.3
Alcohol abuse,ICD10CM,K70.4,Alcoholic hepatic failure,C0400926,Alcoholic hepatic failure,narrow,Ment,ALCABUSE,COV,K70.4
Alcohol abuse,ICD10CM,K70.9,Alcoholic liver disease- unspecified,C0023896,Alcoholic Liver Diseases,narrow,Ment,ALCABUSE,COV,K70.9
Alcohol abuse,ICD10CM,K85.2,Alcohol induced acute pancreatitis,C0341460,Alcohol-induced acute pancreatitis,narrow,Ment,ALCABUSE,COV,K85.2
Alcohol abuse,ICD10CM,K86.0,Alcohol-induced chronic pancreatitis,C0341470,Alcohol-induced chronic pancreatitis,narrow,Ment,ALCABUSE,COV,K86.0
Alcohol abuse,ICD10CM,T51.0,Ethanol,C0161679,Toxic effect of ethyl alcohol,narrow,Ment,ALCABUSE,COV,T51.0
Alcohol abuse,ICD10CM,T51.0X,Toxic effect of ethanol,C0161679,Toxic effect of ethyl alcohol,narrow,Ment,ALCABUSE,COV,T51.0X
Alcohol abuse,ICD10CM,T51.0X1,Toxic effect of ethanol NOS,C0161679,Toxic effect of ethyl alcohol,narrow,Ment,ALCABUSE,COV,T51.0X1
Alcohol abuse,ICD10CM,Y91.1,Moderate alcohol intoxication,C0496557,Moderate alcohol intoxication,narrow,Ment,ALCABUSE,COV,Y91.1
Alcohol abuse,ICD10CM,Y91.2,Severe alcohol intoxication,C0496558,Severe alcohol intoxication,narrow,Ment,ALCABUSE,COV,Y91.2
Alcohol abuse,ICD10CM,Y91.3,Very severe alcohol intoxication,C0496559,Very severe alcohol intoxication,narrow,Ment,ALCABUSE,COV,Y91.3
Alcohol abuse,ICD10CM,Z72.1,Alcohol use,C0001948,Alcohol consumption,possible,Ment,ALCABUSE,COV,Z72.1
Alcohol abuse,ICD10CM,F10.10,Alcohol abuse- uncomplicated,"","",narrow,Ment,ALCABUSE,COV,F10.10
Alcohol abuse,ICD10CM,F10.11,Alcohol abuse- in remission,"","",narrow,Ment,ALCABUSE,COV,F10.11
Alcohol abuse,ICD10CM,F10.14,Alcohol abuse with alcohol-induced mood disorder,"","",narrow,Ment,ALCABUSE,COV,F10.14
Alcohol abuse,ICD10CM,F10.19,Alcohol abuse with unspecified alcohol-induced disorder,"","",narrow,Ment,ALCABUSE,COV,F10.19
Alcohol abuse,ICD10CM,F10.2,Alcohol dependence,C0001973,Alcoholic Intoxication- Chronic,narrow,Ment,ALCABUSE,COV,F10.2
Alcohol abuse,ICD10CM,F10.20,Alcohol dependence- uncomplicated,"","",narrow,Ment,ALCABUSE,COV,F10.20
Alcohol abuse,ICD10CM,F10.21,Alcohol dependence- in remission,"","",narrow,Ment,ALCABUSE,COV,F10.21
Alcohol abuse,ICD10CM,F10.24,Alcohol dependence with alcohol-induced mood disorder,"","",narrow,Ment,ALCABUSE,COV,F10.24
Alcohol abuse,ICD10CM,F10.26,Alcohol dependence with alcohol-induced persisting amnestic disorder,"","",narrow,Ment,ALCABUSE,COV,F10.26
Alcohol abuse,ICD10CM,F10.27,Alcohol dependence with alcohol-induced persisting dementia,"","",narrow,Ment,ALCABUSE,COV,F10.27
Alcohol abuse,ICD10CM,F10.29,Alcohol dependence with unspecified alcohol-induced disorder,"","",narrow,Ment,ALCABUSE,COV,F10.29
Alcohol abuse,ICD10CM,K29.20,Alcoholic gastritis without bleeding,"","",narrow,Ment,ALCABUSE,COV,K29.20
Alcohol abuse,ICD10CM,K29.21,Alcoholic gastritis with bleeding,"","",narrow,Ment,ALCABUSE,COV,K29.21
Alcohol abuse,ICD10CM,K70.10,Alcoholic hepatitis without ascites,"","",narrow,Ment,ALCABUSE,COV,K70.10
Alcohol abuse,ICD10CM,K70.11,Alcoholic hepatitis with ascites,"","",narrow,Ment,ALCABUSE,COV,K70.11
Alcohol abuse,ICD10CM,K70.2,Alcoholic fibrosis and sclerosis of liver,"","",narrow,Ment,ALCABUSE,COV,K70.2
Alcohol abuse,ICD10CM,K70.3,Alcoholic cirrhosis NOS,C0023891,Liver Cirrhosis- Alcoholic,narrow,Ment,ALCABUSE,COV,K70.3
Alcohol abuse,ICD10CM,K70.30,Alcoholic cirrhosis of liver without ascites,"","",narrow,Ment,ALCABUSE,COV,K70.30
Alcohol abuse,ICD10CM,K70.31,Alcoholic cirrhosis of liver with ascites,"","",narrow,Ment,ALCABUSE,COV,K70.31
Alcohol abuse,ICD10CM,K70.40,Alcoholic hepatic failure without coma,"","",narrow,Ment,ALCABUSE,COV,K70.40
Alcohol abuse,ICD10CM,K70.41,Alcoholic hepatic failure with coma,"","",narrow,Ment,ALCABUSE,COV,K70.41
Alcohol abuse,ICD10CM,K70.9,Alcoholic liver disease- unspecified,"","",narrow,Ment,ALCABUSE,COV,K70.9
Alcohol abuse,ICD10CM,K85.20,Alcohol induced acute pancreatitis without necrosis or infection,"","",narrow,Ment,ALCABUSE,COV,K85.20
Alcohol abuse,ICD10CM,K85.21,Alcohol induced acute pancreatitis with uninfected necrosis,"","",narrow,Ment,ALCABUSE,COV,K85.21
Alcohol abuse,ICD10CM,K85.22,Alcohol induced acute pancreatitis with infected necrosis,"","",narrow,Ment,ALCABUSE,COV,K85.22
Alcohol abuse,ICD10CM,T51.0,Toxic effect of ethanol,C0161679,Toxic effect of ethyl alcohol,narrow,Ment,ALCABUSE,COV,T51.0
Alcohol abuse,ICD10CM,T51.0X,Toxic effect of ethanol,"","",narrow,Ment,ALCABUSE,COV,T51.0X
Alcohol abuse,ICD10CM,T51.0X1,Toxic effect of ethanol- accidental (unintentional),"","",narrow,Ment,ALCABUSE,COV,T51.0X1
Alcohol abuse,ICD10CM,T51.0X1A,Toxic effect of ethanol- accidental (unintentional)- initial encounter,"","",narrow,Ment,ALCABUSE,COV,T51.0X1A
Alcohol abuse,ICD10CM,T51.0X1D,Toxic effect of ethanol- accidental (unintentional)- subsequent encounter,"","",narrow,Ment,ALCABUSE,COV,T51.0X1D
Alcohol abuse,ICD10CM,T51.0X1S,Toxic effect of ethanol- accidental (unintentional)- sequela,"","",narrow,Ment,ALCABUSE,COV,T51.0X1S
Alcohol abuse,ICD9CM,291.0,Alcohol withdrawal delirium,C0001957,Alcohol Withdrawal Delirium,narrow,Ment,ALCABUSE,COV,291.0
Alcohol abuse,ICD9CM,291.1,Alcohol-induced persisting amnestic disorder,C0001940,Alcohol Amnestic Disorder,narrow,Ment,ALCABUSE,COV,291.1
Alcohol abuse,ICD9CM,291.9,Unspecified alcohol-induced mental disorders,C0033936,Psychoses- Alcoholic,narrow,Ment,ALCABUSE,COV,291.9
Alcohol abuse,ICD9CM,303,Alcohol dependence syndrome,C0001973,Alcoholic Intoxication- Chronic,narrow,Ment,ALCABUSE,COV,303
Alcohol abuse,ICD9CM,303.0,Acute alcoholic intoxication,C0394996,Acute alcoholic intoxication,narrow,Ment,ALCABUSE,COV,303.0
Alcohol abuse,ICD9CM,303.00,Acute alcoholic intoxication in alcoholism- unspecified,"","",narrow,Ment,ALCABUSE,COV,303.00
Alcohol abuse,ICD9CM,303.01,Acute alcoholic intoxication in alcoholism- continuous,"","",narrow,Ment,ALCABUSE,COV,303.01
Alcohol abuse,ICD9CM,303.02,Acute alcoholic intoxication in alcoholism- episodic,"","",narrow,Ment,ALCABUSE,COV,303.02
Alcohol abuse,ICD9CM,303.03,Acute alcoholic intoxication in alcoholism- in remission,"","",narrow,Ment,ALCABUSE,COV,303.03
Alcohol abuse,ICD9CM,303.9,Other and unspecified alcohol dependence,"","",narrow,Ment,ALCABUSE,COV,303.9
Alcohol abuse,ICD9CM,303.90,Other and unspecified alcohol dependence- unspecified,"","",narrow,Ment,ALCABUSE,COV,303.90
Alcohol abuse,ICD9CM,303.91,Other and unspecified alcohol dependence- continuous,"","",narrow,Ment,ALCABUSE,COV,303.91
Alcohol abuse,ICD9CM,303.92,Other and unspecified alcohol dependence- episodic,"","",narrow,Ment,ALCABUSE,COV,303.92
Alcohol abuse,ICD9CM,303.93,Other and unspecified alcohol dependence- in remission,"","",narrow,Ment,ALCABUSE,COV,303.93
Alcohol abuse,ICD9CM,305.0,Alcohol abuse,C0085762,Alcohol abuse,narrow,Ment,ALCABUSE,COV,305.0
Alcohol abuse,ICD9CM,305.00,Alcohol abuse- unspecified,"","",narrow,Ment,ALCABUSE,COV,305.00
Alcohol abuse,ICD9CM,305.01,Alcohol abuse- continuous,"","",narrow,Ment,ALCABUSE,COV,305.01
Alcohol abuse,ICD9CM,305.02,Alcohol abuse- episodic,"","",possible,Ment,ALCABUSE,COV,305.02
Alcohol abuse,ICD9CM,305.03,Alcohol abuse- in remission,"","",narrow,Ment,ALCABUSE,COV,305.03
Alcohol abuse,ICD9CM,357.5,Alcoholic polyneuropathy,C0085677,Alcoholic Neuropathy,narrow,Ment,ALCABUSE,COV,357.5
Alcohol abuse,ICD9CM,425.5,Alcoholic cardiomyopathy,C0007192,Cardiomyopathy- Alcoholic,narrow,Ment,ALCABUSE,COV,425.5
Alcohol abuse,ICD9CM,535.3,Alcoholic gastritis,C0156076,Alcoholic gastritis,narrow,Ment,ALCABUSE,COV,535.3
Alcohol abuse,ICD9CM,535.30,Alcoholic gastritis- without mention of hemorrhage,"","",narrow,Ment,ALCABUSE,COV,535.30
Alcohol abuse,ICD9CM,535.31,Alcoholic gastritis- with hemorrhage,"","",narrow,Ment,ALCABUSE,COV,535.31
Alcohol abuse,ICD9CM,571.0,Alcoholic fatty liver,C0015696,Fatty Liver- Alcoholic,narrow,Ment,ALCABUSE,COV,571.0
Alcohol abuse,ICD9CM,571.2,Alcoholic cirrhosis of liver,C0023891,Liver Cirrhosis- Alcoholic,narrow,Ment,ALCABUSE,COV,571.2
Alcohol abuse,ICD9CM,980.0,Toxic effect of ethyl alcohol,C0161679,Toxic effect of ethyl alcohol,narrow,Ment,ALCABUSE,COV,980.0
Alcohol abuse,ICPC,P15,Chronic alcohol abuse,C0001973,Alcoholic Intoxication- Chronic,narrow,Ment,ALCABUSE,COV,P15
Alcohol abuse,ICPC2EENG,P15,Chronic alcohol abuse,C0001973,Alcoholic Intoxication- Chronic,narrow,Ment,ALCABUSE,COV,P15
Alcohol abuse,ICPC2P,D87014,Gastritis-alcohol,C0156076,Alcoholic gastritis,narrow,Ment,ALCABUSE,COV,D87014
Alcohol abuse,ICPC2P,D97003,Hepatitis-alcoholic,C0019187,Hepatitis- Alcoholic,narrow,Ment,ALCABUSE,COV,D97003
Alcohol abuse,ICPC2P,N94013,Neuropathy-alcoholic,C0085677,Alcoholic Neuropathy,narrow,Ment,ALCABUSE,COV,N94013
Alcohol abuse,ICPC2P,P15001,Addiction-alcohol,C0001973,Alcoholic Intoxication- Chronic,narrow,Ment,ALCABUSE,COV,P15001
Alcohol abuse,ICPC2P,P15002,Psychosis-alcoholic,C0033936,Psychoses- Alcoholic,narrow,Ment,ALCABUSE,COV,P15002
Alcohol abuse,ICPC2P,P15006,Dependence-alcohol,C0001973,Alcoholic Intoxication- Chronic,narrow,Ment,ALCABUSE,COV,P15006
Alcohol abuse,ICPC2P,P15007,Dipsomania,C0001973,Alcoholic Intoxication- Chronic,narrow,Ment,ALCABUSE,COV,P15007
Alcohol abuse,ICPC2P,P15008,Delirium tremens-alcoholic,C0001957,Alcohol Withdrawal Delirium,narrow,Ment,ALCABUSE,COV,P15008
Alcohol abuse,ICPC2P,P15014,Intoxication-alcohol-chronic,C0001973,Alcoholic Intoxication- Chronic,narrow,Ment,ALCABUSE,COV,P15014
Alcohol abuse,ICPC2P,P15016,Abuse-alcohol-chronic,C0001973,Alcoholic Intoxication- Chronic,narrow,Ment,ALCABUSE,COV,P15016
Alcohol abuse,ICPC2P,P15018,Alcoholism-chronic,C0001973,Alcoholic Intoxication- Chronic,narrow,Ment,ALCABUSE,COV,P15018
Alcohol abuse,ICPC2P,P15020,Korsakoffs psychosis-alcoholic,C0001940,Alcohol Amnestic Disorder,narrow,Ment,ALCABUSE,COV,P15020
Alcohol abuse,ICPC2P,P16002,Drunk,C0001969,Alcoholic Intoxication,narrow,Ment,ALCABUSE,COV,P16002
Alcohol abuse,ICPC2P,P16003,Addiction-alcohol-acute,C0001969,Alcoholic Intoxication,narrow,Ment,ALCABUSE,COV,P16003
Alcohol abuse,ICPC2P,P16005,Intoxication-alcohol-acute,C0394996,Acute alcoholic intoxication,narrow,Ment,ALCABUSE,COV,P16005
Alcohol abuse,ICPC2P,P16006,Abuse-alcohol-acute,C0001969,Alcoholic Intoxication,narrow,Ment,ALCABUSE,COV,P16006
Alcohol abuse,MTHICD9,291.0,Alcoholic delirium,C0001957,Alcohol Withdrawal Delirium,narrow,Ment,ALCABUSE,COV,291.0
Alcohol abuse,MTHICD9,291.9,Alcoholic psychosis NOS,C0033936,Psychoses- Alcoholic,narrow,Ment,ALCABUSE,COV,291.9
Alcohol abuse,MTHICD9,303.9,Chronic alcoholism,C0001973,Alcoholic Intoxication- Chronic,narrow,Ment,ALCABUSE,COV,303.9
Alcohol abuse,MTHICD9,305.0,Drunkenness NOS,C0001969,Alcoholic Intoxication,narrow,Ment,ALCABUSE,COV,305.0
Alcohol abuse,MTHICD9,305.00,Alcohol abuse- unspecified drinking behavior,C0085762,Alcohol abuse,narrow,Ment,ALCABUSE,COV,305.00
Alcohol abuse,MTHICD9,571.2,Laennec-s cirrhosis- alcoholic,C0023891,Liver Cirrhosis- Alcoholic,narrow,Ment,ALCABUSE,COV,571.2
Alcohol abuse,MTHICD9,980.0,Toxic effect of ethanol,C0161679,Toxic effect of ethyl alcohol,narrow,Ment,ALCABUSE,COV,980.0
Alcohol abuse,RCD,136..,Alcohol intake,C0001948,Alcohol consumption,possible,Ment,ALCABUSE,COV,136..
Alcohol abuse,RCD,1368.,Alcohol consumption unknown,"","",narrow,Ment,ALCABUSE,COV,1368.
Alcohol abuse,RCD,1369.,Suspect alcohol abuse - denied,"","",narrow,Ment,ALCABUSE,COV,1369.
Alcohol abuse,RCD,136K.,Alcohol intake above recommended sensible limits,"","",narrow,Ment,ALCABUSE,COV,136K.
Alcohol abuse,RCD,136L.,Alcohol intake within recommended sensible limits,"","",narrow,Ment,ALCABUSE,COV,136L.
Alcohol abuse,RCD,136Z.,Alcohol consumption NOS,"","",narrow,Ment,ALCABUSE,COV,136Z.
Alcohol abuse,RCD,E01..,Alcoholic psychoses,C0033936,Psychoses- Alcoholic,narrow,Ment,ALCABUSE,COV,E01..
Alcohol abuse,RCD,E010.,Delirium tremens,C0001957,Alcohol Withdrawal Delirium,narrow,Ment,ALCABUSE,COV,E010.
Alcohol abuse,RCD,E011.,Alcoholic amnestic syndrome,C0001940,Alcohol Amnestic Disorder,narrow,Ment,ALCABUSE,COV,E011.
Alcohol abuse,RCD,E0112,Wernicke-Korsakov syndrome,"","",narrow,Ment,ALCABUSE,COV,E0112
Alcohol abuse,RCD,E011z,Alcohol amnestic syndrome NOS,"","",narrow,Ment,ALCABUSE,COV,E011z
Alcohol abuse,RCD,E0120,Chronic alcoholic brain syndrome,"","",narrow,Ment,ALCABUSE,COV,E0120
Alcohol abuse,RCD,E014.,Pathological alcohol intoxication,"","",narrow,Ment,ALCABUSE,COV,E014.
Alcohol abuse,RCD,E015.,Alcoholic paranoia,"","",narrow,Ment,ALCABUSE,COV,E015.
Alcohol abuse,RCD,E01y.,Other alcoholic psychosis,"","",narrow,Ment,ALCABUSE,COV,E01y.
Alcohol abuse,RCD,E01yz,Other alcoholic psychosis NOS,"","",narrow,Ment,ALCABUSE,COV,E01yz
Alcohol abuse,RCD,E01z.,Alcoholic psychosis NOS,"","",narrow,Ment,ALCABUSE,COV,E01z.
Alcohol abuse,RCD,E2310,Unspecified chronic alcoholism,C0001973,Alcoholic Intoxication- Chronic,narrow,Ment,ALCABUSE,COV,E2310
Alcohol abuse,RCD,E2311,Continuous chronic alcoholism,"","",narrow,Ment,ALCABUSE,COV,E2311
Alcohol abuse,RCD,E2312,Episodic chronic alcoholism,"","",narrow,Ment,ALCABUSE,COV,E2312
Alcohol abuse,RCD,E2313,Chronic alcoholism in remission,"","",narrow,Ment,ALCABUSE,COV,E2313
Alcohol abuse,RCD,E231z,Chronic alcoholism NOS,C0001973,Alcoholic Intoxication- Chronic,narrow,Ment,ALCABUSE,COV,E231z
Alcohol abuse,RCD,E23z.,Alcohol dependence syndr. NOS,C0001973,Alcoholic Intoxication- Chronic,narrow,Ment,ALCABUSE,COV,E23z.
Alcohol abuse,RCD,Eu10.,[X]Mental and behavioural disorders due to use of alcohol,C0349096,Alcohol-related mental disorders,narrow,Ment,ALCABUSE,COV,Eu10.
Alcohol abuse,RCD,Eu100,[X]Acute alcohol intoxication,C0394996,Acute alcoholic intoxication,narrow,Ment,ALCABUSE,COV,Eu100
Alcohol abuse,RCD,Eu101,[X]Mental and behavioural disorders due to use of alcohol- harmful use,"","",narrow,Ment,ALCABUSE,COV,Eu101
Alcohol abuse,RCD,Eu103,[X]Alcohol withdrawal state,C0494375,Mental and behavioral disorders due to use of alcohol- withdrawal state,narrow,Ment,ALCABUSE,COV,Eu103
Alcohol abuse,RCD,Eu104,[X]Alcohol withdrawal delirium,C0001957,Alcohol Withdrawal Delirium,narrow,Ment,ALCABUSE,COV,Eu104
Alcohol abuse,RCD,Eu106,[X]Amnesic synd due to alcohol,C0001940,Alcohol Amnestic Disorder,narrow,Ment,ALCABUSE,COV,Eu106
Alcohol abuse,RCD,Eu10y,[X]Mental and behavioural disorders due to use of alcohol- other mental and behavioural disorders,"","",narrow,Ment,ALCABUSE,COV,Eu10y
Alcohol abuse,RCD,Eu10z,[X]Mental and behavioural disorders due to use of alcohol- unspecified mental and behavioural disorder,"","",narrow,Ment,ALCABUSE,COV,Eu10z
Alcohol abuse,RCD,F375.,Alcohol-related polyneuropathy,C0085677,Alcoholic Neuropathy,narrow,Ment,ALCABUSE,COV,F375.
Alcohol abuse,RCD,G555.,Alcohol-induced heart muscle disease,C0007192,Cardiomyopathy- Alcoholic,narrow,Ment,ALCABUSE,COV,G555.
Alcohol abuse,RCD,J153.,Alcoholic gastritis,C0156076,Alcoholic gastritis,narrow,Ment,ALCABUSE,COV,J153.
Alcohol abuse,RCD,J610.,Alcoholic fatty liver,C0015696,Fatty Liver- Alcoholic,narrow,Ment,ALCABUSE,COV,J610.
Alcohol abuse,RCD,J611.,Acute alcoholic hepatitis,"","",narrow,Ment,ALCABUSE,COV,J611.
Alcohol abuse,RCD,J613.,Alcoholic liver damage unspecified,"","",narrow,Ment,ALCABUSE,COV,J613.
Alcohol abuse,RCD,SM00.,Ethyl alcohol causing toxic effect,C0161679,Toxic effect of ethyl alcohol,narrow,Ment,ALCABUSE,COV,SM00.
Alcohol abuse,RCD,SM000,Ethanol causing toxic effect,"","",narrow,Ment,ALCABUSE,COV,SM000
Alcohol abuse,RCD,SM001,Denatured alcohol causing toxic effect,"","",narrow,Ment,ALCABUSE,COV,SM001
Alcohol abuse,RCD,SM002,Grain alcohol causing toxic effect,"","",narrow,Ment,ALCABUSE,COV,SM002
Alcohol abuse,RCD,SM00z,Ethyl alcohol causing toxic effect NOS,"","",narrow,Ment,ALCABUSE,COV,SM00z
Alcohol abuse,RCD,Ub1tt,Beer intake,"","",possible,Ment,ALCABUSE,COV,Ub1tt
